Sending Over A Job Report For A Recent Warranty Repair You Carried Out,Inquiry
How do I know which product is best suited for my home,Inquiry
What are your opening hours,Inquiry
Where do I find my serial number?,Inquiry
Does someone need to be in the property to let the engineer in if the it is in the garage,Inquiry
Should my service sheet be filled in by the engineer after each service visit,Inquiry
How often do I need to service,Inquiry
Is my Touch Connect compatible with any home assistants,Inquiry
How much does it cost to use the Touch Connect App,Inquiry
different ways to contact Ideal technical support,Inquiry
How can I contact you,Inquiry
Replacing an Old product,Inquiry
suggest best,Inquiry
Will turning my water off will have any affect?,Inquiry
What size boiler do I need?,Inquiry
Turning your boiler off at night?,Inquiry
How long does it take to install?,Inquiry
Need Replacement Guide,Inquiry
How Often do you Need a Service?,Inquiry
Why it is making a noise?,Inquiry
How long does a product last?,Inquiry
How to Establish the Ideal Room Temperature,Inquiry
Finding the Best Combi heater for Your Home,Inquiry
How to book a service,Inquiry
How to REGISTER WARRANTY,Inquiry
How do I get a Gas Safe certificate,Inquiry
I have not received my Gas Safety Certificate,Inquiry
Do current AI automatically become Max AI,Inquiry
Cover Under The Free Guarantee,Warranty
Was Only Covered For 2 Years,Warranty
I Had A 5 Year Warranty As Long As The Servicing Was Kept Up,Warranty
Registering For Warranty,Warranty
How Long The Warranty Is For The Attached,Warranty
Confirmation Of Registration And Warranty,Warranty
Forward Me A Copy Of My Warranty,Warranty
Boiler Is Now Fully Registered And Under Warranty,Warranty
Covered Under The Warranty,Warranty
Confirm Registration Of The Warranty,Warranty
What all things Covered by the Warranty?,Warranty
How to Register Your Warranty,Warranty
How to Extend the Warranty,Warranty
How do I keep my Ideal boiler warranty valid?,Warranty
How long does an Ideal boiler warranty last?,Warranty
Does my boiler warranty cover my system?,Warranty
are boiler warranties transferable,Warranty
What If I Bought the Boiler Secondhand? What will happen to warranty.,Warranty
Is Getting a Warranty Repair Worth It?,Warranty
How do I start a warranty claim?,Warranty
Do I need to send in a receipt for warrenty check?,Warranty
Will I receive a replacement item if my item cannot be fixed and it is under warrenty,Warranty
"If my item is accidently damaged, will this be covered under warranty?",Warranty
What all things not covered under warranty?,Warranty
Are warranties just for products or can you offer them for services as well?,Warranty
Common boiler warranty terms and conditions,Warranty
What is the difference between a boiler warranty & a boiler policy?,Warranty
