fuckin'm transtelecom,Negative 
rught brb on me ipod. if i randomly go off its cos me internet breaks,Negative 
at famous dave's with my mom. so hungry.,Negative 
"@maddsie Thanks, none close to me.",Negative 
I am beginning to think sun blcok is a haox.,Negative 
Just found out my parents are putting down my dog tomorrow morning. Upset,Negative 
Apperently ea knows my copy of the sims 3 is not legit and is upset,Negative 
FUCK. slept in,Negative 
"my sisters fucking pc, just blued screened me",Negative 
"@PENLDN just got in, gonna go upto bed in a sec, not drunk! I'm disgusted with myself  haha",Negative 
too sick for rigging tomorrow.,Negative 
UUUUUGH!!! I HATE I MISSED @WAYNEDASTAR INTERVIEW!!! I WASNT AT HOME!!! DARN!!!,Negative 
Sitting in traffic while my car gets rained on. Just washed it on Sunday. Doesn't the weather know this is California?,Negative 
finally home for once after a dope ass week,Negative 
@eminem http://twitpic.com/4j585 - Guess I need to get me an iPhone now for sure!!!  It looks bad ass!!,Negative 
@paulmoxham everything is your fault moxy...everything.   x,Negative 
finally getting sleepy right when the sky brightens ... figures! G'nimorning,Negative 
is downloading new fonts . again  http://plurk.com/p/rplkr,Negative 
"So, what's so great bout your so called 'wonderful love life'?  For god sake, W-A-T-E-V-A!",Negative 
@stevebiddle I used to be - but that was a while ago now - your argument is pretty sound for a trolley pusher,Negative 
Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww,Negative 
"@taylorswift13 Hello, yourself. Enjoy London. Watch out for the Hackneys. They're mental.",Negative 
@iaindodsworth Told you that when you got rid of the last one. Did you listen,Negative 
"wakey wakey lemon shakeyyyy!  haha, goin' 2 schooliooo!  it's raining!! (ugh!) guess where I WISH I CAN BE RIGHT NOW....CaLiFoRNiA! ???",Negative 
"@olafsearson Lol - I could try!  Seriously tho, dont do all of it! That sucks! xx",Negative 
@taylorswift13 jet lag must be soo annoyingg! im in uk timee  welcome to ukkkkk  are u coming to scotland at all  ? xxxx,Negative 
knows its all going to sort itself out,Negative 
omg! goooood ass nappy nap  jusss woke up bout 2 clean up a lil then get ready,Negative 
@rockchick0125 yup!  Now I can join in on the nin access fun!,Negative 
@Buddy021193 i hear you.. it pisses me off haha,Negative 
@PirateTimmy hopefully it don't go that far  sometimes I feel like renouncing my roots,Negative 
"had a kickass day full of Seaworld, retarded 15 year old guys, and X-Men Origins. Win day?",Negative 
OIL IS CHANGED!  And I am filthy.    But it's an accomplished filthy.,Negative 
@roberto121 that's some serious shit steve. why didn't you send me pictures or call me!! You know i love a good yard sale.,Negative 
@brainofdane DUDE.  You're a hax0r!!!1!  You should put Final Cut Pro on there and tell me how stable it is,Negative 
Just sittin here waitin for my coffee to be full grown on farm town before going to bed,Negative 
my gawwddd ! 6 headshotss inna row? im on fyaaahhh!,Negative 
I'm way to sleepy.. Ill watch my shows lata..Good nite twit-fam!.. God bless!..XoXo,Negative 
@NerdIndian Take that back. I am insulted.,Negative 
@anieszkaa haha i did a ltiitle bit yesterday and ive been out all day  so i think ima chick an allnighter  hahaha NOT COOL,Negative 
@johncmayer you are one of my favorite musicians/artists ever!! Please keep up the great work John,Negative 
It is so annoying when she starts typing on her computer in the middle of the night!,Negative 
dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,Negative 
@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,Negative 
@mrgenius23 You win ... SIGH Rakeem,Negative 
"@soviet_star Damn, that sucks",Negative 
@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,Negative 
@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,Negative 
@britblackbird  youstinkatrespondingtotexts!,Negative 
don't you hate it when you finish all your work and there's still 1.25 hours left of work time,Negative 
@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,Negative 
@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin,Negative 
would wish the severe migrains would stop!!! doc's prescriptions arent working,Negative 
@tiffalo cuz airlines are super lame.,Negative 
I'm so very tired...and have insomnia.,Negative 
"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",Negative 
I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,Negative 
"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",Negative 
Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,Negative 
@lanacaitlin  hahaha well its try its so ugly,Negative 
I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,Negative 
think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,Negative 
my roommate @tess_tickle loves to ignore me,Negative 
"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",Negative 
"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",Negative 
aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,Negative 
@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??,Negative 
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",Negative 
I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,Negative 
@all_is_one84 Those suck so bad.,Negative 
At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.,Negative 
hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs,Negative 
on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;,Negative 
@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw],Negative 
@juliaiiivir Hey! That's my school! I hate that place.,Negative 
"plan may changes , nooooooo",Negative 
my sister is a douchebag,Negative 
time for tv in bed.Then spending all day catching up on studying  i hate online summer classes,Negative 
Dang it! I REALLY look like crap!! Sigh only had 35mins to shower and 10mins to get ready,Negative 
"back at Vienna (  ), sooo tired, luggage lost, Manchester 'd been great - very good outcome from Seminar at MBS &amp; great people around ...",Negative 
@guitar21g @jackie_hussein i have to wake up earlier than i thought.. my dad wants me to take him food at 9AM! no0o0o0o!,Negative 
"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can't find any other shoes!",Negative 
night 5 not talking to my victor  i'm so bored at night now. grrrr i hate this shit,Negative 
"gonna get off to try and catch some Z's, no more high school after tomorrow! which really sucks  i wish i didn't have to grow up!",Negative 
Sooo.....I'm kinda o sick n tired of the bs that guys dish out  !!!!!!!!,Negative 
i just murdered two fucking mouses!!! now i cant sleep,Negative 
"sososo bummed, like really bummed, i hate this rain, ruin my date...",Negative 
"Working late at night on a Dell notebook, Dell's quality has gone down hill, warrenty service sucks too, poor people  buy a Mac instead",Negative 
"@calvinharris make the most of pork products while you can, they've fucking stopped importing it here in dubai. bad times",Negative 
"WTF facebook just cleared out my whole survey and i was on the last q, this night gets better and better  what else is next?",Negative 
Its weird being at the guy's house without them here. I don't like it,Negative 
"@mrskutcher  Where I live, all the small markets deliver their day-old bread to the food bank, but times are really tough, even for me",Negative 
Doing a mass cleanout of my room before rearranging it. Just sent mother out to buy me a bin and a bookshelf since mine sucks. Bad mood,Negative 
"feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!",Negative 
Bummed that F! F! F! broke up,Negative 
"@StonedSteve yes it was good 2 see them laught at each other,,but that poor lad asking his mum &amp; dad 2 kill him",Negative 
@GoblinZA Can't access your site!,Negative 
Its so Fucking hot! Damn no air conditioning.,Negative 
@hillaryhatt I never liked that boy  Jerms!,Negative 
"this sucks i'm tweetless...and i f'n hate money, why does it have to be an issue",Negative 
dam it keeps rainin on me,Negative 
@MissMadalena err i think they're like 15 bucks a ticket cause its 3D too. too expensive,Negative 
Omg grr my parents left probably 15 minutes ago to belgium and typical i wake up a stupid o'clock,Negative 
Just watched The Goode Family premiere online... And I think this may be the last episode I watch. It's pretty amazingly mediocre  pass.,Negative 
and this stupid wireless wont work downstairs,Negative 
"Change my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~",Negative 
Have to go to work  typical sunshine and deep sleep; stupid friday.,Negative 
@anant24121986 it is so unfair that all the good rock shows happen only in B'lore and Pune,Negative 
almost everyone can suck my clit right about now. ive had it up to here with people fucking me over !,Negative 
says BAD TRIP! (angry)  http://plurk.com/p/wxshi,Negative 
omg!!! mcdonalds combo and wendys sundae = puke material,Negative 
I really need to sort out a bird table and some feeders - the robins and blue tits are being bullied,Negative 
But why do I have to spend it in the office,Negative 
"@MissMaryJ M Jizzle I need u to Hit me too, ugghh I'm sick of this damn phone! Like seriously!",Negative 
@iamivanxxx That sucks to hear. I hate days like that,Negative 
This train is so squeaky its givin me a sore head its bad enough i have to go to work!,Negative 
@Kikirowr Downside though is that you're breaking the thread.,Negative 
The Taxi Q at Pelangi was super loooong.. and now I'm getting headaches because of the hot-cold transition,Negative 
@WoWInsider I would be playing my old rogue but a friend took the account and could not get it back,Negative 
rah rah. youtube isn't working again. oh great,Negative 
@BrookeAmanda that sucks  what bout kate,Negative 
lol my other tank/dps friend is having the same problem in a different guild.  wtf is wrong with this server?,Negative 
my hsbc savings apy dropped to 1.55%. sort of feeling like pulling out all my money and keeping it underneath my mattress.,Negative 
"damn another day at the office, the sun is bursting from the sky...and the women are eh well...back to the keyboard",Negative 
Another Day gone by....  Have to wake up early again tomorrow,Negative 
i'm so sick   bad throat and the WORST toothache.  good thing i work in a pharmacy.  load me up with drugs!!,Negative 
@avrilchan never invite,Negative 
Gday... Do you know if NHibernate has issues with COM Interop (VB6 &lt;-&gt; .Net Wrapper &lt;-&gt; .Net+NHibernate dll)? I'm getting crazy,Negative 
"@stevecruzblog  It is so unfair, Hustlaball, US citizens working here, Personal Appearances Expectations, Prowler, can I do that there?",Negative 
"Changed my hairstyle,but it isn't good as it supposed to be~~N I don't think it worthed that much money..  hate that hairdresser~~;(",Negative 
he just fully yelled @me saying dnt be so fcking stupid grow up! stop with this band shit then... throws the remote at me thnks love u2,Negative 
"@powertwitter Not a fan of the layout change of hyperlinks. I don't like the indentation and, well, I'm clicking and no link shows.",Negative 
My stomach is killing me do j can't sleep,Negative 
@digicho I'm inclined to think it's stupid.,Negative 
Hates untalented bitches being mean to my talented friends,Negative 
Arghhh So annoyed-yet again gone 2 starbucks &amp; given skimmed milk instead of soy milk!! I can't have milk so hav 2 throw away! Expensive,Negative 
@markbuchholz the non-Europers managed to dump the sun here! its gonna be a hot time now!,Negative 
This is exactly y I hate driving thru dandy - sittin at lights next to a car of asians who r callin out to me &amp; 1 held up a knife  scum!,Negative 
@AravindJose thanks dude. Being a low level business man its hard to get normal credit cards..also our place is not listed with any bank,Negative 
@jaysun093  yes it is. Sucks don't it,Negative 
why the fuck am I on twitter!!!,Negative 
"On way to exam, very very nervous  bah",Negative 
"is tryna find her a 30 yr old junt with a 401 k, stable job, good home with an extra room 4 me and my baggage..so tired of u young dudes",Negative 
Dang you internet. . . Its been down all night. . .,Negative 
@bb_nation just launched twittix v1.10 - not convinced,Negative 
"im gonna die of a heart attack one of these days, if i keep going off to bed this pissed.  GGGGGGG'NITEEEEEEEE",Negative 
How freaking cold is it out in Sydney tonight...,Negative 
woke up from bad dream.  grrrr,Negative 
Any city person want to trade n live in the country? House comes w racoons n skunks livin under deck. *sigh*,Negative 
I hate it when this computer screws up and decides not to play sound on videos,Negative 
Waiting for my driver! Hate to wait!!!!!,Negative 
A central lesson of history is that States are parasites which always expand until they destroy their host population. - Stefan Molyneux,Negative 
@she_shines92 aww that sucks,Negative 
@dragonflyeyes nick's voice still makes me wanna kill things,Negative 
@chuybe again your fault  i didnt make u leave,Negative 
I'm pretty sure Isis has a tapeworm.  So she's allowed to snuggle with me all she wants tonight.,Negative 
got such sore feet,Negative 
FUCKSAKE i shouldn't smoke so much stuff.,Negative 
So damn tired! Another long day trw!,Negative 
"just woke up, I'm starving",Negative 
@Epiphora I will never forgive you for burying the erotica. You're snuffing out our love.,Negative 
"Had to fix bike chain on the way to work...arrived a filthy, bloody mess   lovely weather though!",Negative 
"wants to move to QLD already, this cold weather is killing me",Negative 
stuck in huge traffic jam,Negative 
hates typing on a mac. wishing that i'll be done my english essay soon.  sleeeepy,Negative 
"bah, i h8 waking up",Negative 
"i hate working, especially when the weather is good",Negative 
Have you ever stepped on a slug by accident? I just did  I hate bugs,Negative 
Shit week all fucking week  off to the gym now with the worst headache.,Negative 
my eyes are streaming!! i HATE hayfever  it's so bad even my tablets aren't working!,Negative 
@GGSerena boo you didnt answer my text,Negative 
"my mind is racing ... b/c of 4 words he wrote.  I hate him, but I hate her most. ... and I can't keep from falling for him",Negative 
Bluedart takes a shipment all the way before figuring out &quot;No Deliver&quot; and then bring it back! Databases anyone?,Negative 
"Just been bitten by SmoothStreaming, it doesn't seem to work for my client's linux users...fan-fricking-tastic",Negative 
? MADAYA KA CHRISTIAN. BLEH!!! I HATE U  http://plurk.com/p/wy2yg,Negative 
I hate this bit,Negative 
This place blows! My UberTwitter isn't functioning here! Had to switch to TB,Negative 
Cars been dropped off for service and mot  getting the train home! Hate public transport!!,Negative 
Hydro drive abandoned after three miles,Negative 
hmz... second most popular page on this governmental site is the 404 page... fail,Negative 
@upcomingpixar Too bad we're in Sweden where Up isn't up on the theaters  here until October,Negative 
"@jojototh @abduzeedo firefox ok, but opera and IE - footer is not ok",Negative 
@berkscub no sorry twitter sucks balls since the replys change  #fixreplies,Negative 
"Shit shit, i didn't mean to dall asleep again, it's 9am, I wanted to be out by 9.30. Don't know why I'm so tired,I wasn't late last night",Negative 
Okay I'm seriously bored. I have nothing to do. I can't go out cause it's raining.,Negative 
Up earlier because of a stupid orthadontist appointment,Negative 
"@Sihm and the &quot;fuck  &quot; was because I dont get my gift!   I was SO exited about it, and it was sooo awesome...",Negative 
it should be.. not a wink &gt;.&lt;,Negative 
; keeps getting such delayed responses. why is my internet so messed up?!,Negative 
is not paying ï¿½8 per hr for Internet access so may be limited to Twitter via txt,Negative 
"I remember when Vanessa first stepped on to the scene. She would give it up to the paps!  Now shes 2 famous I guess. Use us, abuse us!",Negative 
Was woken up by my screamin lil nefuew,Negative 
As predicted i feel lyk shit  gahh i hate bein ill!! At wrk tweet lata xx,Negative 
I feel so useless,Negative 
awhile ago it freaking hot! now it's wet  turn off!,Negative 
@x_Beckiie_x omg are you going to see it?! another reason to not live in devon none of the f***in cinemas have the film im so annoyed,Negative 
Aaaaaaaa!! I hate fucking winshit!!,Negative 
"Think it may be time for a  lemsip soon, having a cold really sucks",Negative 
@alexlomas Bastard! I want to be at the beach in the sun,Negative 
I bruised my toe worse than my I did my finger. It fuckin hurts right now even with ice on it,Negative 
"@ShiGGaShay - I only get bubble tea during the cambodian new year - only once a year  &amp; when i do, i stand in line for over 10-15 min.",Negative 
@Sarahies I will be ok when I have been to the drs again today and got my essay done  x howre you?? x,Negative 
Geography papers are so boring!  I hate revision!,Negative 
"urgh, my head is banging.",Negative 
@robinlefeber Ojee! That sucks...,Negative 
Oh fml its probs gunna be at shepards bush  i hate it there,Negative 
Anyone got any remedies for neck pain? Haven't been able to turn my head properly without a bad twinge for a few days now,Negative 
My record player has decided to die. Why on Friday night? Sad E  http://twitpic.com/667a4,Negative 
I can't sleep ugh!! and I have shit to do all damn day tomorrow. Wanting to take a sleeping pill but I know Ill get up late,Negative 
@maddieprior mother is hogging the TV,Negative 
Hates headaches! Maybe I'm not ready to rock,Negative 
@razzbingo britain is shit,Negative 
@nicko236 It was an app that changed your wallpaper to one of several hundred at random intervals. It's hard to find good wallpapers.,Negative 
"trying to get used to twitter, i have a cold",Negative 
preparing for my spanish.. BAAAAAAAAAAH,Negative 
I am so damn hungry it's not even funny!,Negative 
@cynimarie p.s. There is such thing as having too much sushi! Bleeeeah!,Negative 
What a gorgeous day!! And I'm going to be stuck in a lab for the next 9 hours or so,Negative 
i'm sick of waking up and feeling exhausted,Negative 
hate this fucking cold. i can't stop sneezing. and claratyne only works for an hr or 2,Negative 
in the mailbox already for 2 hours,Negative 
@JeremyTheXIV i take it you're not a fan,Negative 
@lordofleisure Will have to it's only across the water and all. Just damned expensive,Negative 
i can't studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom,Negative 
i know i was wrong. maybe i shouldnt did all of those fuckin things like that,Negative 
Hey now that I'm on a roll everybody in twitter-ville is sleeping  grrr I never WIN :/ http://myloc.me/1Y2J,Negative 
"Sick, sick, sick. This sucks. i can't even breathe properly",Negative 
sick of having constant bad dreams  grr,Negative 
@Jenniferlai7 What can you say about Jayk??I'm pretty pissed at pretty much everything right now,Negative 
trying to draw some manga/anime for our new website ... very bad idea!   http://bit.ly/k6iOv,Negative 
Aww.. I lost 3 followers.  FOLLOW ME !,Negative 
don't want to go!!!,Negative 
"@nixsight  yes indeed, makes it a bitch to try and design universally",Negative 
IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,Negative 
"@gerald_d I can't view anything, Gerald. Not only am I banned, I can't even read the damn place.",Negative 
I am NOT in the mood for a long car drive,Negative 
http://bit.ly/147HEU  - don't judge me. tucking myself in tonight  mogwai on repeat,Negative 
Getting very frustrated by people who don't know what they want... can't wait to go home tonight...,Negative 
@tweetie Why do I have to enter my registration details every time I update?,Negative 
@CheskieBear gosh! i hate it. my school will start in monday too.  and my classes will start 6.00 and end at 12.00 i'll never had a chance,Negative 
"@lordlucan i had terrible trouble with 'sp' words as a child, would drop the 's' pider, pade etc, needed lessons. bad memories",Negative 
@GarethCliff Oh stop boasting already.  I've got a horrible piece o' crap cellphone.  *pulls a tongue*,Negative 
hates having to be at work for six am,Negative 
Fed up today        No-one's available for comment,Negative 
@Tolman21 I was asleep until my brother woke me up asking me if I ate the rest of the frosted mini wheats. I can't go back to sleep.,Negative 
@luketurcotte Not having Hulu in Germany sucks,Negative 
I can't think of a way to express in 140 chars how disspointed I am with the advertising on Lifehacker's Why I Didn't Buy A Mac article.,Negative 
"want to read twilight all day, not work at the stupid cher function",Negative 
"@EricMM76 What's sad is that I actually had to google that term. That sucks, tho.",Negative 
not sure why I can't get tweetdeck to work on my computer. want to know what all of the hype is about,Negative 
suffering benadryl hangover this morning and a killer headache.... ugh!,Negative 
@gprado Awww I HATE that one!!,Negative 
@KinanLW I live in the Philippines. &gt;.&lt; and honestly i wanna live somewhere with snow!!,Negative 
"sorry paul scheuring, but prison break series finale sucked... in so many levels",Negative 
ugh damn! my usual babysitters graduation is on Wednesday and I just got a meeting request from my boss during her graduation,Negative 
school is so pointlesss. seriously though. 7 days of school left and all we do is watch movies and make powerpoints. let me leaveeee,Negative 
&quot;I'm giving up on you. I don't care how you mess up your life now.&quot;... :'(,Negative 
"@cskly Kev, fuck off! I'm stuck in Westgate working",Negative 
My generation is too fucking apathetic to party down in the desert. 30+ knows how to have fun and my age group is generation myspace?,Negative 
I never get invited to go anywhere,Negative 
"Sighs, well I accidentally clicked back space on my mouse",Negative 
I hate packing,Negative 
Seems like everyone I know is asking for computer help...   kill me now,Negative 
When r these DAMN exams ever gone b over and done with?  i wanna b out in the sun,Negative 
unemployment office sucks,Negative 
Can I get some gd news for gods sake,Negative 
I am doing Geography Revision on Earthquakes!  How Boring!!,Negative 
What a burden. Abit of a fail lunch with Dan,Negative 
"Right, fuck the whole Twitter silence experiment. The last four days have been murder with the inability to mouth off",Negative 
THE SUN IS SHINING&lt; THE SKY IS FACKING BLUE&lt; TELETUBBIES? I HAVE TO FUCKING WORK.,Negative 
@Jimmers31 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,Negative 
"super late for work, and got an earful from the PSYCHOPATH. GRRRR! Day, please get better",Negative 
@jojeda I'm a minute in and I want to strangle the used car salesman doing the presentation. Is he related to the ShamWOW guy?,Negative 
rt : @LiLi214 ughhhh got fuckin pulled over for talkin on my cell in a school zone  FUCK HIGHLAND PARK POLICE rude mofo,Negative 
Im sure the 5 ppl who came in after me will be seen by a dentist before I will,Negative 
"@dmolsen Gain an instant follower, just use the #tits tag in a tweet. WTF? Lesson learned, Summer of Todd to get a new *official* tag.",Negative 
"Stuck in an office, red hot",Negative 
Really? 87 degrees as the high and I'm on my way to work?!?  hagg lake tomorrow is going to be especially bomb sauce!!,Negative 
http://twitpic.com/66mw1 - My poor car,Negative 
@chellemariee I have my 830 class  fuckin school! what time you work wed? if jade comes ima have to get her in antioch at amtrak.,Negative 
@iskrin rubbish!,Negative 
Some idiot just crashed into me on his bike.  Now my bike has a small dent in it and I have to buy a new set of pedals,Negative 
Locked out of my fucking house!,Negative 
Trying to recover photos after a problem between Windows and my XD card. Result: shots are all half visible  damn Microsoft...,Negative 
i hate history coursework sooo much,Negative 
"just got a haircut, NOT happy!",Negative 
"Tweetiful people, I am sick.",Negative 
@VVbrown It just sucks that I'm stuck in an office  but I have you at Selfridges to look forward too.,Negative 
@Andy_Hawk @andy_sims works sucks without being able to stream KWOD,Negative 
i hate feeling like this about him  i need a break away from everyone... as soon as exams are over i'm defo off to portsmouth for a bit,Negative 
"EVIL CREDIT CARD COMPANIES!!  God, and just when I was starting to *build* my credit again - I get this stupid 'ding' from them!",Negative 
Gahh ! This weather sucksss !,Negative 
I really like how the weather widget on imac and iphone always predict different weather...not!,Negative 
@ryanmtedder He is the truth! But what about Maxwell? You can't forget the future father of my children!,Negative 
"urgh, i really hate that medicine",Negative 
feels so used I hate guys grrrr,Negative 
@erinealberty that sucks!,Negative 
@ZomberellaMcFox not a fan,Negative 
Kyles going out of town this weekend  play time wif my fwiends. Rawrrr.,Negative 
@principalspage Grrr. We don't finish until July 3rd.,Negative 
"can't gauge the time of day in my office anymore... It's worse than a friggin' casino in here... no waitresses, smoking, or booze",Negative 
@chevale my internet is being a ***** again!!! wtf. i think im gonna sleep afterward. internet is driving me crazyyy!,Negative 
"Back in Glasgow, stuck in traffic on the M8",Negative 
@BrittanyASnow omgsh i know  i'm dealing with that rite now. its no fun!,Negative 
Getting ready for week  Its too nice today to be stuck inside working!,Negative 
I hate going to the dr  just wasted 1 hour and a half for them to say my back pain is probly depression or stress. Duhh! I need it fixed,Negative 
FML. . .i have the worst paper cut on my knuckle from all the papers i was handling. i hat this damn research paper!!!,Negative 
i HATE U.S. history,Negative 
"aahhh! nyc placements have started to come out, but it looks like upgrades have to wait yet another two weeks for placements! dreadfully",Negative 
lousy mofo landlord.   need to focus on kid's packing but cant . nevermind sew sleeping bag,Negative 
